AppTimestamp(s),SensorTimestamp(s),Gyr_X,Gyr_Y,Gyr_Z,Label,Latitude,Longitude
5.033,2735688.215,-0.0,8e-05,-0.00046,9,4.8,6
5.057,2735688.234,-0.0,8e-05,0.00076,9,4.8,6
5.075,2735688.253,-0.0,-0.00053,0.00076,9,4.8,6
5.09,2735688.272,0.00061,8e-05,0.00015,9,4.8,6
5.108,2735688.291,-0.00061,-0.00053,-0.00046,9,4.8,6
5.128,2735688.311,-0.0,8e-05,-0.00046,9,4.8,6
5.147,2735688.33,-0.0013,-0.00053,-0.00046,9,4.8,6
5.165,2735688.349,-8e-05,8e-05,0.00015,9,4.8,6
5.186,2735688.368,-0.0013,8e-05,0.00015,9,4.8,6
5.208,2735688.387,-8e-05,8e-05,-0.00046,9,4.8,6
5.226,2735688.406,-8e-05,8e-05,0.00015,9,4.8,6
5.242,2735688.425,0.00053,8e-05,0.00015,9,4.8,6
5.262,2735688.444,-8e-05,8e-05,0.00015,9,4.8,6
5.281,2735688.463,-8e-05,8e-05,0.00015,9,4.8,6
5.298,2735688.482,-0.0,-0.00053,-0.00046,9,4.8,6
5.318,2735688.501,-0.00061,8e-05,8e-05,9,4.8,6
5.34,2735688.52,-0.0,8e-05,8e-05,9,4.8,6
5.361,2735688.539,-0.00061,-0.00053,0.00076,9,4.8,6
5.379,2735688.558,0.00061,8e-05,0.00076,9,4.8,6
5.394,2735688.577,-0.00061,8e-05,0.00015,9,4.8,6
5.414,2735688.596,0.00061,8e-05,0.00015,9,4.8,6
5.433,2735688.615,-0.00061,0.00015,0.00015,9,4.8,6
5.457,2735688.634,0.00061,0.00015,0.00015,9,4.8,6
5.475,2735688.653,-0.00061,-0.00046,-0.00046,9,4.8,6
5.494,2735688.672,0.00061,0.00015,-0.00046,9,4.8,6
5.513,2735688.691,0.0,0.00015,0.00015,9,4.8,6
5.527,2735688.71,0.00061,0.00015,0.00015,9,4.8,6
5.55,2735688.729,-0.00053,-0.00046,0.00015,9,4.8,6
5.569,2735688.748,0.00069,0.00015,8e-05,9,4.8,6
5.587,2735688.767,-0.00053,-0.00046,-0.00053,9,4.8,6
5.605,2735688.786,8e-05,-0.00046,8e-05,9,4.8,6
5.623,2735688.805,8e-05,0.00015,0.00069,9,4.8,6
5.662,2735688.824,8e-05,-0.00046,8e-05,9,4.8,6
5.663,2735688.843,8e-05,0.00015,8e-05,9,4.8,6
5.679,2735688.862,8e-05,0.00015,8e-05,9,4.8,6
5.697,2735688.881,0.00069,0.00015,8e-05,9,4.8,6
5.717,2735688.9,-0.00053,0.00015,8e-05,9,4.8,6
