AppTimestamp(s),SensorTimestamp(s),Acc_X,Acc_Y,Acc_Z,Label,Latitude,Longitude
5.06,2730093.755,-0.04277,-0.09033,9.88206,4,3,6
5.084,2730093.774,-0.04038,-0.09033,9.87727,4,3,6
5.099,2730093.793,-0.04756,-0.07597,9.88206,4,3,6
5.116,2730093.812,-0.04038,-0.10469,9.88206,4,3,6
5.135,2730093.831,-0.04756,-0.09511,9.87727,4,3,6
5.175,2730093.85,-0.04277,-0.10229,9.87727,4,3,6
5.176,2730093.869,-0.04277,-0.10229,9.88445,4,3,6
5.192,2730093.888,-0.03799,-0.08076,9.88924,4,3,6
5.211,2730093.907,-0.04516,-0.08794,9.87727,4,3,6
5.229,2730093.926,-0.04995,-0.08315,9.88206,4,3,6
5.247,2730093.945,-0.05234,-0.08794,9.88206,4,3,6
5.267,2730093.964,-0.04277,-0.09272,9.88924,4,3,6
5.287,2730093.983,-0.0332,-0.0999,9.88206,4,3,6
5.307,2730094.002,-0.04516,-0.09751,9.87727,4,3,6
5.326,2730094.021,-0.04756,-0.10708,9.88924,4,3,6
5.344,2730094.04,-0.04516,-0.08554,9.87967,4,3,6
5.364,2730094.059,-0.03799,-0.09272,9.87249,4,3,6
5.387,2730094.078,-0.04516,-0.09751,9.88924,4,3,6
5.402,2730094.097,-0.04756,-0.08315,9.87967,4,3,6
5.42,2730094.116,-0.04756,-0.08315,9.88206,4,3,6
5.439,2730094.135,-0.04038,-0.08315,9.87967,4,3,6
5.461,2730094.154,-0.04756,-0.08554,9.87967,4,3,6
5.479,2730094.173,-0.04277,-0.0999,9.88445,4,3,6
5.496,2730094.192,-0.03559,-0.08315,9.87249,4,3,6
5.515,2730094.211,-0.04038,-0.09751,9.88684,4,3,6
5.534,2730094.23,-0.04038,-0.09272,9.88924,4,3,6
5.553,2730094.249,-0.04277,-0.09272,9.88445,4,3,6
5.573,2730094.268,-0.03799,-0.09511,9.88445,4,3,6
5.591,2730094.287,-0.03559,-0.09033,9.88206,4,3,6
5.61,2730094.306,-0.04277,-0.09272,9.88206,4,3,6
5.632,2730094.325,-0.03559,-0.10229,9.89163,4,3,6
5.647,2730094.344,-0.03799,-0.09033,9.88924,4,3,6
5.67,2730094.363,-0.03799,-0.09272,9.87249,4,3,6
5.688,2730094.382,-0.05474,-0.09033,9.88206,4,3,6
5.711,2730094.401,-0.05474,-0.09272,9.89402,4,3,6
5.726,2730094.42,-0.04277,-0.09272,9.88924,4,3,6
5.744,2730094.44,-0.04516,-0.08794,9.88684,4,3,6
5.768,2730094.459,-0.0332,-0.08554,9.89881,4,3,6
5.781,2730094.478,-0.03799,-0.09511,9.88684,4,3,6
5.799,2730094.497,-0.04277,-0.08315,9.88206,4,3,6
5.82,2730094.516,-0.03799,-0.08315,9.88445,4,3,6
5.844,2730094.535,-0.05952,-0.09511,9.87967,4,3,6
5.857,2730094.554,-0.04995,-0.09033,9.88924,4,3,6
5.88,2730094.573,-0.04756,-0.08794,9.88924,4,3,6
5.896,2730094.592,-0.04277,-0.09272,9.87967,4,3,6
5.914,2730094.611,-0.04516,-0.0999,9.87727,4,3,6
5.935,2730094.63,-0.03799,-0.08554,9.88206,4,3,6
5.954,2730094.649,-0.04277,-0.07836,9.87967,4,3,6
5.972,2730094.668,-0.04516,-0.0999,9.87727,4,3,6
5.991,2730094.687,-0.03559,-0.09751,9.88445,4,3,6
6.01,2730094.706,-0.04516,-0.09033,9.87727,4,3,6
6.028,2730094.725,-0.04995,-0.09033,9.88445,4,3,6
6.048,2730094.744,-0.04756,-0.08076,9.88445,4,3,6
6.07,2730094.763,-0.04038,-0.08794,9.87967,4,3,6
6.086,2730094.782,-0.05234,-0.08554,9.88924,4,3,6
6.105,2730094.801,-0.05234,-0.09511,9.87967,4,3,6
6.124,2730094.82,-0.04277,-0.09272,9.89402,4,3,6
6.142,2730094.839,-0.04277,-0.10229,9.87967,4,3,6
6.162,2730094.858,-0.04516,-0.09511,9.89881,4,3,6
6.181,2730094.877,-0.04277,-0.09511,9.87009,4,3,6
6.199,2730094.896,-0.0332,-0.09033,9.88684,4,3,6
6.219,2730094.915,-0.04038,-0.09272,9.87967,4,3,6
6.242,2730094.934,-0.04516,-0.10708,9.88924,4,3,6
6.26,2730094.953,-0.04277,-0.08794,9.88206,4,3,6
6.28,2730094.972,-0.04516,-0.09751,9.88684,4,3,6
6.295,2730094.991,-0.05234,-0.08554,9.89163,4,3,6
6.317,2730095.01,-0.04516,-0.09511,9.89163,4,3,6
6.332,2730095.029,-0.03799,-0.07836,9.87967,4,3,6
6.353,2730095.048,-0.04277,-0.08794,9.87967,4,3,6
6.371,2730095.067,-0.04995,-0.09272,9.87967,4,3,6
6.393,2730095.086,-0.04277,-0.09272,9.88924,4,3,6
6.408,2730095.105,-0.04277,-0.09751,9.87727,4,3,6
6.431,2730095.124,-0.03799,-0.0999,9.88445,4,3,6
6.448,2730095.143,-0.04277,-0.09751,9.88445,4,3,6
6.467,2730095.162,-0.04756,-0.08315,9.88684,4,3,6
6.487,2730095.181,-0.05234,-0.08076,9.87727,4,3,6
6.507,2730095.2,-0.04756,-0.09272,9.88684,4,3,6
6.525,2730095.219,-0.03559,-0.09272,9.88684,4,3,6
6.547,2730095.238,-0.04516,-0.09033,9.87488,4,3,6
6.562,2730095.257,-0.04995,-0.09272,9.88924,4,3,6
6.586,2730095.276,-0.05474,-0.09751,9.88684,4,3,6
6.602,2730095.295,-0.04995,-0.08315,9.88206,4,3,6
6.618,2730095.314,-0.04756,-0.09033,9.88684,4,3,6
6.639,2730095.333,-0.04516,-0.08554,9.87727,4,3,6
6.66,2730095.353,-0.04277,-0.09033,9.89642,4,3,6
6.676,2730095.372,-0.04756,-0.08554,9.89402,4,3,6
6.693,2730095.391,-0.04038,-0.09751,9.88206,4,3,6
6.718,2730095.41,-0.04756,-0.09751,9.88684,4,3,6
6.734,2730095.429,-0.04995,-0.10469,9.87967,4,3,6
6.752,2730095.448,-0.04995,-0.08076,9.88684,4,3,6
6.771,2730095.467,-0.04516,-0.09511,9.88206,4,3,6
6.793,2730095.486,-0.04995,-0.09272,9.89163,4,3,6
6.81,2730095.505,-0.04038,-0.08794,9.87967,4,3,6
6.827,2730095.524,-0.03799,-0.08794,9.88206,4,3,6
6.85,2730095.543,-0.04756,-0.09751,9.88206,4,3,6
6.87,2730095.562,-0.04995,-0.08794,9.88924,4,3,6
6.887,2730095.581,-0.04756,-0.10469,9.87727,4,3,6
6.905,2730095.6,-0.04038,-0.08554,9.88924,4,3,6
6.924,2730095.619,-0.04756,-0.09511,9.87009,4,3,6
6.941,2730095.638,-0.04756,-0.08794,9.88206,4,3,6
6.96,2730095.657,-0.04277,-0.09272,9.88445,4,3,6
6.981,2730095.676,-0.05234,-0.09033,9.88206,4,3,6
