AppTimestamp(s),SensorTimestamp(s),Mag_X,Mag_Y,Mag_Z,Label,Latitude,Longitude
5.917,2724737.393,33.31875,-178.33125,-414.48752,1,0,5.4
5.939,2724737.413,33.28125,-178.2375,-414.31876,1,0,5.4
5.957,2724737.433,33.075,-178.44376,-414.30002,1,0,5.4
5.977,2724737.453,33.075,-178.48126,-414.39377,1,0,5.4
5.999,2724737.473,32.98125,-178.53751,-414.39377,1,0,5.4
6.016,2724737.493,32.98125,-178.44376,-414.48752,1,0,5.4
6.04,2724737.513,32.90625,-178.46251,-414.73126,1,0,5.4
6.06,2724737.533,32.75625,-178.65001,-414.73126,1,0,5.4
6.079,2724737.553,32.7375,-178.81876,-414.52502,1,0,5.4
6.097,2724737.573,32.7,-178.91251,-414.46878,1,0,5.4
6.116,2724737.593,32.68125,-178.85626,-414.52502,1,0,5.4
6.137,2724737.613,32.71875,-178.76251,-414.39377,1,0,5.4
6.156,2724737.633,32.94375,-178.85626,-414.22501,1,0,5.4
6.176,2724737.653,33.075,-178.8,-414.09378,1,0,5.4
6.196,2724737.673,33.13125,-178.89375,-414.03751,1,0,5.4
6.215,2724737.693,33.1125,-178.78125,-413.88751,1,0,5.4
6.236,2724737.713,33.15,-178.6875,-414.01877,1,0,5.4
6.256,2724737.733,32.94375,-178.93126,-414.03751,1,0,5.4
6.277,2724737.753,32.94375,-178.70625,-414.13126,1,0,5.4
6.296,2724737.773,32.79375,-178.81876,-414.15002,1,0,5.4
6.315,2724737.793,32.53125,-178.66876,-414.28128,1,0,5.4
6.336,2724737.813,32.53125,-178.81876,-414.18753,1,0,5.4
6.358,2724737.833,32.34375,-178.53751,-414.28128,1,0,5.4
6.379,2724737.853,32.15625,-178.6125,-414.39377,1,0,5.4
6.396,2724737.873,32.175,-178.63126,-414.37503,1,0,5.4
6.417,2724737.893,32.175,-178.59375,-414.60001,1,0,5.4
6.437,2724737.913,32.19375,-178.83751,-414.48752,1,0,5.4
6.459,2724737.933,32.2875,-178.70625,-414.48752,1,0,5.4
6.476,2724737.953,32.4375,-178.78125,-414.45001,1,0,5.4
6.501,2724737.973,32.49375,-178.6875,-414.45001,1,0,5.4
6.518,2724737.993,32.71875,-178.6875,-414.28128,1,0,5.4
6.538,2724738.013,32.925,-178.46251,-414.09378,1,0,5.4
6.561,2724738.033,32.7,-178.65001,-414.09378,1,0,5.4
6.575,2724738.053,32.71875,-178.38751,-413.98126,1,0,5.4
6.597,2724738.073,32.86875,-178.01251,-414.00003,1,0,5.4
6.618,2724738.093,32.7,-178.08751,-413.98126,1,0,5.4
6.636,2724738.113,32.8875,-178.125,-413.90628,1,0,5.4
6.657,2724738.133,32.8875,-178.16251,-413.94376,1,0,5.4
6.677,2724738.153,32.85,-178.35001,-413.94376,1,0,5.4
6.696,2724738.173,32.775,-178.35001,-414.07501,1,0,5.4
6.716,2724738.193,33.0,-178.16251,-414.16876,1,0,5.4
6.74,2724738.213,33.075,-178.46251,-414.18753,1,0,5.4
6.76,2724738.233,32.98125,-178.72501,-414.18753,1,0,5.4
6.78,2724738.253,33.225,-178.70625,-414.30002,1,0,5.4
6.797,2724738.273,33.20625,-178.59375,-414.45001,1,0,5.4
6.817,2724738.293,33.16875,-178.66876,-414.43127,1,0,5.4
6.84,2724738.313,33.3375,-178.44376,-414.43127,1,0,5.4
6.858,2724738.333,33.45,-178.55626,-414.54376,1,0,5.4
6.878,2724738.353,33.45,-178.6875,-414.35626,1,0,5.4
6.901,2724738.373,33.5625,-178.53751,-414.43127,1,0,5.4
6.917,2724738.393,33.54375,-178.55626,-414.45001,1,0,5.4
6.941,2724738.413,33.43125,-178.44376,-414.33752,1,0,5.4
6.956,2724738.433,33.20625,-178.53751,-414.30002,1,0,5.4
6.978,2724738.453,33.13125,-178.3125,-414.30002,1,0,5.4
6.998,2724738.473,33.05625,-178.44376,-414.30002,1,0,5.4
7.016,2724738.493,32.9625,-178.35001,-414.30002,1,0,5.4
7.037,2724738.513,32.90625,-178.06876,-414.41251,1,0,5.4
7.08,2724738.533,32.9625,-177.95625,-414.30002,1,0,5.4
7.081,2724738.553,32.90625,-178.03125,-414.37503,1,0,5.4
7.095,2724738.573,32.85,-178.3125,-414.52502,1,0,5.4
7.115,2724738.593,32.90625,-178.33125,-414.61877,1,0,5.4
7.136,2724738.613,33.0375,-178.425,-414.78751,1,0,5.4
7.158,2724738.633,33.0,-178.44376,-415.03128,1,0,5.4
7.177,2724738.653,32.90625,-178.74376,-414.86252,1,0,5.4
7.196,2724738.673,33.01875,-178.95001,-414.88126,1,0,5.4
7.216,2724738.693,32.90625,-179.0625,-414.82501,1,0,5.4
7.237,2724738.713,32.85,-178.91251,-414.86252,1,0,5.4
